time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1620666660,1121.4166666666667,33.358333333333334,0.0,205.16666666666663,136.5,205.41666666666663,656.1666666666666,1.4,11.0,6.466666666666674,5059.1,5.954166666666675,0.0,0.175,1
1620666670,1154.25,22.45,0.0,206.16666666666663,74.2,206.41666666666663,880.6666666666666,0.0,15.259999999999993,3.2833333333333257,4711.8,5.416666666666663,0.0,0.1,1
1620666680,1174.25,20.25000000000001,0.0,206.75,48.3,207.0,1083.1666666666667,0.0,18.079999999999995,2.0,4665.8,3.104166666666663,0.0,0.0583333333333342,1
1620666690,1174.25,0.0,0.0,206.75,4.5,207.0,1083.1666666666667,0.0,22.22000000000001,0.0,4438.9,1.270833333333337,0.0,0.0,1
1620666700,1174.25,0.0,0.0,206.75,2.4,207.0,1083.1666666666667,0.0,24.76000000000001,0.0,4439.1,0.0,0.0,0.0,1
1620666710,1174.25,0.0,0.0,206.75,15.5,207.16666666666663,1083.1666666666667,1.2,28.279999999999973,0.0,4388.8,0.1583333333333371,0.0,0.0,1
1620666720,1180.0833333333333,44.45,0.0,206.91666666666663,32.6,207.75,1527.6666666666667,1.2,32.040000000000006,0.5833333333333257,4594.7,0.8958333333333371,0.0,0.0166666666666657,1
1620666730,1180.0833333333333,17.41666666666665,0.0,206.91666666666663,41.9,208.25,1701.8333333333333,0.5,35.90999999999999,0.0,4578.5,1.8916666666666628,0.0,0.0,1
1620666740,1180.0833333333333,0.0,0.0,206.91666666666663,21.9,208.58333333333331,1701.8333333333333,0.5,38.93000000000002,0.0,4554.9,1.5375,0.0,0.0,1
1620666750,1183.0,27.73333333333335,0.0,207.0,37.4,209.0,1979.1666666666667,3.9,39.11999999999998,0.2916666666666742,4664.4,1.4666666666666628,0.0,0.0083333333333342,1
1620666760,1183.0,0.0,0.0,207.0,25.5,209.5,1979.1666666666667,3.9,39.21000000000004,0.0,4548.2,1.8583333333333256,0.0,0.0,1
1620666770,1183.0,0.0,0.0,207.0,12.5,209.66666666666663,1979.1666666666667,1.8,39.08999999999996,0.0,4397.8,1.1708333333333372,0.0,0.0,1
1620666780,1183.0,0.0,0.0,207.0,23.1,210.0,1979.1666666666667,1.7,39.040000000000056,0.0,4533.8,1.2041666666666742,0.0,0.0,1
1620666790,1183.0,35.59999999999998,1.75,207.0,50.4,210.75,2335.1666666666665,1.7,39.0,0.0,4616.0,2.575,2.1,0.0,1
1620666800,1183.0,0.0,21.416666666666668,207.0,27.5,211.0,2335.1666666666665,0.0,39.25999999999995,0.0,3292.9,2.358333333333326,23.6,0.0,1
1620666810,1233.0,255.23333333333332,15.75,208.16666666666663,149.7,212.75,4887.5,2.5,39.09000000000005,5.0,2774.4,4.816666666666663,23.6,0.1166666666666657,1
1620666820,1301.25,96.1583333333333,6.166666666666667,209.75,120.4,214.41666666666663,5849.083333333333,2.5,39.05,6.825,4073.2,7.829166666666675,23.6,0.1583333333333342,1
1620666830,1331.3333333333333,28.408333333333395,19.33333333333333,211.0,85.0,215.75,6133.166666666667,1.5,38.979999999999926,3.0083333333333258,3137.9,5.5833333333333375,15.8,0.125,1
1620666840,1468.3333333333333,28.408333333333395,54.91666666666666,216.58333333333331,402.1,221.83333333333331,6055.833333333333,1.8,39.0,13.7,2458.5,11.6,42.7,0.5583333333333342,1
1620666850,1659.6666666666667,13.941666666666697,71.75,224.33333333333331,482.2,229.58333333333331,6195.25,1.8,39.030000000000015,19.133333333333347,2892.8,20.5625,20.2,0.775,1
1620666860,1847.0833333333333,13.941666666666697,102.91666666666669,232.08333333333331,484.1,237.25,6055.916666666667,1.8,38.96000000000004,18.741666666666653,2547.0,22.15416666666666,37.4,0.775,1
1620666870,2031.3333333333333,13.941666666666697,133.91666666666666,240.0,487.6,245.5,5875.25,1.8,39.10999999999994,18.425,2239.9,22.275,37.2,0.7916666666666657,1
1620666880,2216.25,13.941666666666697,164.16666666666666,247.75,481.3,253.16666666666663,5688.5,2.6,39.08000000000011,18.491666666666674,2214.1,22.083333333333325,36.3,0.775,1
1620666890,2405.75,13.941666666666697,194.33333333333331,255.0,470.4,260.25,5502.083333333333,0.7,39.15,18.95,2503.1,21.975,36.2,0.725,1
1620666900,2578.25,13.941666666666697,201.83333333333331,258.8333333333333,331.7,264.0833333333333,5329.75,0.7,36.70999999999985,17.25,2801.6,20.291666666666675,9.0,0.3833333333333314,1
1620666910,2699.909090909091,13.941666666666697,205.45454545454547,262.27272727272725,331.7,267.3636363636364,5208.090909090909,11.6,32.9,12.1659090909091,2801.6,20.291666666666675,9.0,0.3439393939393937,1
1620666920,2870.75,13.941666666666697,206.66666666666663,267.0833333333333,1633.8,272.1666666666667,5031.75,11.6,28.91000000000004,17.0840909090909,15345.1,28.83257575757577,22.0,0.4810606060606062,1
1620666930,3086.583333333333,13.941666666666697,206.66666666666663,275.6666666666667,597.8,281.25,4814.583333333333,11.6,25.110000000000035,21.58333333333335,2690.8,32.5159090909091,0.0,0.8583333333333372,1
1620666940,3337.4166666666665,13.941666666666697,206.66666666666663,285.3333333333333,581.9,290.75,4570.583333333333,5.8,21.21000000000004,25.083333333333304,2655.0,27.0125,0.0,0.9666666666666628,1
1620666950,3581.6666666666665,13.941666666666697,206.66666666666663,295.0833333333333,591.1,300.5,4322.833333333333,5.8,17.239999999999963,24.425,2625.6,27.70833333333335,0.0,0.975,1
1620666960,3799.0833333333335,13.941666666666697,206.66666666666663,304.3333333333333,587.5,309.5833333333333,4106.916666666667,0.8,13.35,21.741666666666696,2618.3,27.308333333333326,0.0,0.925,1
