file,first10_start_tps,first20_start_tps,first50_start_tps,first75_start_tps,first100_start_tps,first10_end_tps,first20_end_tps,first50_end_tps,first75_end_tps,first100_end_tps
direct_async_batches_http.csv,357,277,261,262,254,357,277,261,255,250
direct_async_batches_ws.csv,625,384,324,313,299,476,327,316,313,299
direct_async_http.csv,924,616,660,693,770,924,616,660,41,65
direct_asyncio_ws.csv,370,312,245,246,239,370,312,245,246,239
direct_async_queue_batches_http.csv,588,344,299,288,280,555,338,297,287,280
direct_async_queue_batches_ws.csv,769,454,337,321,311,769,408,326,313,304
direct_async_queue_http.csv,416,266,248,240,240,400,250,246,233,239
direct_async_queue_ws.csv,454,312,299,300,292,370,307,289,300,289
direct_async_ws.csv,1000,2000,5000,3750,3333,1000,2000,5000,227,303
direct_http.csv,185,186,186,185,186,185,186,186,185,186
direct_ws.csv,357,289,243,239,236,357,289,243,239,236
web3_async_batches.csv,250,250,250,258,256,250,250,250,258,256
web3_async.csv,333,285,277,267,270,333,285,277,267,263
web3_async_queue_batches.csv,227,210,198,196,194,232,210,198,196,194
web3_async_queue.csv,166,181,166,166,172,166,181,166,166,166
web3_blocking.csv,149,148,144,143,143,149,148,144,143,143
web3js_http_async.csv,322,270,226,214,208,322,270,226,214,208
web3js_http_batch_fast.csv,277,243,216,211,210,277,243,216,211,210
web3js_http_batch_slow.csv,333,256,225,214,209,333,256,225,214,209
web3js_ws_async.csv,384,250,233,224,221,384,250,233,224,221
web3js_ws_batch_fast.csv,370,263,238,226,220,370,263,238,226,220
web3js_ws_batch_slow.csv,333,281,228,222,218,333,281,228,222,218
web3_ws_normal.csv,185,180,174,172,169,185,180,174,172,169
